X,Y,Distancia,LabelLinea,Linea,Nodo,Nombre,Package,Ruta,Sublinea,ObjectId
-665829.205339914,4494853.92107721,5432,01,1,71,Avenida Miraflores (San Juan Bosco),618,112,110,214
-665829.205339914,4494853.92107721,1171,11,11,71,Avenida Miraflores (San Juan Bosco),618,1111,1110,215
-665829.205339914,4494853.92107721,1032,12,12,71,Avenida Miraflores (San Juan Bosco),618,1211,1210,216
-665829.205339914,4494853.92107721,953,16,16,71,Avenida Miraflores (San Juan Bosco),618,1611,1610,217
-665829.205339914,4494853.92107721,2254,A1,101,71,Avenida Miraflores (San Juan Bosco),618,10111,10110,218
-665829.205339914,4494853.92107721,2659,A1,101,71,Avenida Miraflores (San Juan Bosco),618,10113,10111,219
-665519.900784028,4495242.00198702,5828,01,1,72,Avenida Miraflores (Retiro Obrero),618,112,110,220
-665519.900784028,4495242.00198702,1567,11,11,72,Avenida Miraflores (Retiro Obrero),618,1111,1110,221
-665519.900784028,4495242.00198702,1428,12,12,72,Avenida Miraflores (Retiro Obrero),618,1211,1210,222
-665519.900784028,4495242.00198702,1349,16,16,72,Avenida Miraflores (Retiro Obrero),618,1611,1610,223
-665519.900784028,4495242.00198702,2650,A1,101,72,Avenida Miraflores (Retiro Obrero),618,10111,10110,224
-665519.900784028,4495242.00198702,3055,A1,101,72,Avenida Miraflores (Retiro Obrero),618,10113,10111,225
-665310.866747405,4495519.97509522,6104,01,1,73,Av. Miraflores (Sta. María de Ordás),618,112,110,226
-665310.866747405,4495519.97509522,1843,11,11,73,Av. Miraflores (Sta. María de Ordás),618,1111,1110,227
-665310.866747405,4495519.97509522,1704,12,12,73,Av. Miraflores (Sta. María de Ordás),618,1211,1210,228
-665310.866747405,4495519.97509522,1625,16,16,73,Av. Miraflores (Sta. María de Ordás),618,1611,1610,229
-665310.866747405,4495519.97509522,2926,A1,101,73,Av. Miraflores (Sta. María de Ordás),618,10111,10110,230
